iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
HUN,Europe,Hungary,29/10/2020,68127,2194,2273.571,1634,56,47,7052.229,227.114,235.351,169.145,5.797,4.865,,,,,,,,,,,,,,,,,,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
ISL,Europe,Iceland,29/10/2020,4671,97,63,12,1,0.143,13687.912,284.249,184.615,35.165,2.93,0.419,,,,,,,,,,,,,,,,,,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
IND,Asia,India,29/10/2020,8040203,49881,47608.143,120527,517,558.714,5826.216,36.146,34.499,87.338,0.375,0.405,,,,,,,,,,,,,,,,,,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
IDN,Asia,Indonesia,29/10/2020,400483,4029,3910.571,13612,100,107.857,1464.162,14.73,14.297,49.765,0.366,0.394,,,,,,,,,,,,,,,,,,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IRN,Asia,Iran,29/10/2020,588648,6824,6194.571,33714,415,338.286,7008.302,81.245,73.751,401.391,4.941,4.028,,,,,,,,,,,,,,,,,,70.83,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRQ,Asia,Iraq,29/10/2020,463951,4043,3669.429,10770,46,50.286,11534.613,100.516,91.228,267.761,1.144,1.25,,,,,,,,,,,,,,,,,,51.85,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.685
IRL,Europe,Ireland,29/10/2020,59434,667,858.857,1896,6,4,12036.544,135.081,173.935,383.977,1.215,0.81,,,,,,,,,,,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IMN,Europe,Isle of Man,29/10/2020,352,0,0.571,24,0,0,4139.618,0,6.72,282.247,0,0,,,,,,,,,,,,,,,,,,,85032,147.872,,,,,,,,,,,,81.4,
ISR,Asia,Israel,29/10/2020,312787,763,778.857,2494,11,29,36137.198,88.152,89.984,288.139,1.271,3.35,,,,,,,,,,,,,,,,,,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
ITA,Europe,Italy,29/10/2020,589766,24988,20016.857,37905,205,153.286,9754.353,413.286,331.066,626.924,3.391,2.535,,,,,,,,,,,,,,,,,,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.88
JAM,North America,Jamaica,29/10/2020,8851,64,58,198,2,3.429,2989.03,21.613,19.587,66.866,0.675,1.158,,,,,,,,,,,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
JPN,Asia,Japan,29/10/2020,98852,736,618.286,1733,3,6.857,781.584,5.819,4.889,13.702,0.024,0.054,,,,,,,,,,,,,,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JEY,Europe,Jersey,29/10/2020,566,6,6.143,32,0,0,5599.913,59.363,60.776,316.603,0,0,,,,,,,,,,,,,,,,,,,101073,,,,,,,,,,,,,,
JOR,Asia,Jordan,29/10/2020,61942,3087,2617.429,700,32,36.714,6070.876,302.554,256.532,68.606,3.136,3.598,,,,,,,,,,,,,,,,,,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
KAZ,Asia,Kazakhstan,29/10/2020,148479,442,313,2222,1,5.143,7907.617,23.54,16.67,118.338,0.053,0.274,,,,,,,,,,,,,,,,,,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.8
KEN,Africa,Kenya,29/10/2020,51851,1018,815.286,934,0,10.857,964.288,18.932,15.162,17.37,0,0.202,,,,,,,,,,,,,,,,,,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
OWID_KOS,Europe,Kosovo,29/10/2020,18626,281,194.714,673,4,2.286,9636.926,145.387,100.743,348.204,2.07,1.183,,,,,,,,,,,,,,,,,,52.78,1932774,168.155,,,,9795.834,0.6,,,,,,,,
KWT,Asia,Kuwait,29/10/2020,123906,814,767.857,763,7,6,29013.973,190.607,179.802,178.665,1.639,1.405,,,,,,,,,,,,,,,,,,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.803
KGZ,Asia,Kyrgyzstan,29/10/2020,57798,522,541.714,1139,1,2.429,8859.029,80.01,83.032,174.581,0.153,0.372,,,,,,,,,,,,,,,,,,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672
LAO,Asia,Laos,29/10/2020,24,0,0,,0,0,3.299,0,0,,0,0,,,,,,,,,,,,,,,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601
LVA,Europe,Latvia,29/10/2020,5144,251,192.429,63,0,2.143,2727.173,133.072,102.019,33.4,0,1.136,,,,,,,,,,,,,,,,,,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.847
LBN,Asia,Lebanon,29/10/2020,75845,1850,1466.857,602,12,9.429,11112.101,271.045,214.91,88.199,1.758,1.381,,,,,,,,,,,,,,,,,,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.757
LSO,Africa,Lesotho,29/10/2020,1947,0,4.143,43,0,0,908.857,0,1.934,20.072,0,0,,,,,,,,,,,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.52
